Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Mycoplasma salivarium ( 2124 ),Mycoplasma ( 2093 ),956768,9817,2705,70.34,8.58,2.38,25.15,99.0,99.0,97.47,98.82
Bacteria,Parvimonas sp. oral taxon 110 ( 671230 ),Parvimonas ( 543311 ),291930,3128,11038,100.0,9.21,0.01,107.63,99.0,93.36,31.59,61.49
Bacteria,Parvimonas micra ( 33033 ),Parvimonas ( 543311 ),119191,2169,11038,9.21,9.21,107.62,107.63,42.51,93.36,27.73,61.49
Bacteria,Olsenella uli ( 133926 ),Olsenella ( 133925 ),7190,188,321,11.06,10.06,5.29,5.29,55.14,50.67,2.36,5.36
Bacteria,Mycoplasma hominis ( 2098 ),Mycoplasma ( 2093 ),5108,354,2705,60.64,8.58,5.46,25.15,99.0,99.0,0.23,98.82
Bacteria,Mycoplasma arthritidis ( 2111 ),Mycoplasma ( 2093 ),4464,352,2705,99.0,8.58,3.4,25.15,99.0,99.0,0.16,98.82
Bacteria,Mycoplasma hyosynoviae ( 29559 ),Mycoplasma ( 2093 ),3560,68,2705,99.0,8.58,0.36,25.15,99.0,99.0,0.33,98.82
Bacteria,Mycoplasma arginini ( 2094 ),Mycoplasma ( 2093 ),3397,353,2705,99.0,8.58,3.53,25.15,100.0,99.0,0.04,98.82
Bacteria,Mycoplasma canadense ( 29554 ),Mycoplasma ( 2093 ),3115,352,2705,99.0,8.58,3.55,25.15,100.0,99.0,0.01,98.82
Bacteria,Mycoplasma orale ( 2121 ),Mycoplasma ( 2093 ),1493,15,2705,0.26,8.58,0.01,25.15,100.0,99.0,0.15,98.82
Bacteria,Mycoplasma agalactiae ( 2110 ),Mycoplasma ( 2093 ),706,71,2705,99.0,8.58,0.71,25.15,100.0,99.0,0.01,98.82
Bacteria,Prevotella oris ( 28135 ),Prevotella ( 838 ),603,1324,23,19.2,0.37,0.24,29.02,30.54,0.46,43.23,65.77
Bacteria,Mycoplasma mobile ( 2118 ),Mycoplasma ( 2093 ),538,62,2705,99.0,8.58,0.63,25.15,0.0,99.0,0.0,98.82
Bacteria,Mycoplasma fermentans ( 2115 ),Mycoplasma ( 2093 ),465,54,2705,56.09,8.58,0.97,25.15,0.82,99.0,0.01,98.82
Bacteria,Mycoplasma bovis ( 28903 ),Mycoplasma ( 2093 ),455,31,2705,99.0,8.58,0.3,25.15,100.0,99.0,0.02,98.82
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),367,39,580,7.02,7.02,5.42,5.42,100.0,100.0,0.01,0.01
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),313,6,164,2.75,3.72,1.15,1.59,100.0,100.0,0.03,0.03
Bacteria,Mycoplasma hyopneumoniae ( 2099 ),Mycoplasma ( 2093 ),304,3,2705,23.41,8.58,0.03,25.15,100.0,99.0,0.03,98.82
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),178,29,34,6.03,6.03,4.91,4.91,0.92,0.92,0.09,0.09
Bacteria,Mycoplasma crocodyli ( 50052 ),Mycoplasma ( 2093 ),157,7,2705,19.86,8.58,0.34,25.15,100.0,99.0,0.01,98.82
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),151,17,17,8.81,8.69,1.98,1.98,0.0,0.0,0.0,0.0
