Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),257648,34825,7316,41.78,10.63,475.75,532.78,83.76,3.1,178.5,348.48
Bacteria,Klebsiella pneumoniae ( 573 ),Klebsiella ( 570 ),200494,17511,16954,14.89,11.8,1129.83,1148.76,1.95,2.96,353.89,535.33
Bacteria,Prevotella denticola ( 28129 ),Prevotella ( 838 ),3116,318,7316,11.61,10.63,24.34,532.78,7.86,3.1,4.61,348.48
Bacteria,Prevotella oris ( 28135 ),Prevotella ( 838 ),1850,585,7316,18.98,10.63,0.24,532.78,20.23,3.1,28.72,348.48
Bacteria,Klebsiella variicola ( 244366 ),Klebsiella ( 570 ),1209,108,16954,8.72,11.8,11.53,1148.76,16.39,2.96,0.48,535.33
Caudovirales (dsDNA phages),Salmonella phage epsilon15 ( 215158 ),Epsilon15likevirus ( 542960 ),1087,15,10,99.0,37.09,0.08,0.08,100.0,100.0,0.08,0.08
Archaea,Methanosphaera stadtmanae ( 2317 ),Methanosphaera ( 2316 ),779,7,7,99.0,99.0,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Fusobacterium nucleatum ( 851 ),Fusobacterium ( 848 ),690,133,311,0.71,0.67,43.35,43.51,6.86,6.49,15.03,19.97
Bacteria,Prevotella nigrescens ( 28133 ),Prevotella ( 838 ),608,65,7316,29.48,10.63,1.83,532.78,1.21,3.1,9.47,348.48
Bacteria,Klebsiella sp. ( 576 ),Klebsiella ( 570 ),572,74,16954,100.0,11.8,0.4,1148.76,55.02,2.96,0.64,535.33
Bacteria,Alloprevotella rava ( 671218 ),Alloprevotella ( 1283313 ),390,181,0,100.0,6.27,0.08,0.08,21.85,1.96,7.95,46.21
Caudovirales (dsDNA phages),Streptococcus phage 858 ( 459845 ),Sfi1unalikevirus ( 1623303 ),281,7,2,100.0,35.34,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Klebsiella sp. KCL-2 ( 160057 ),Klebsiella ( 570 ),187,15,16954,100.0,11.8,0.16,1148.76,0.0,2.96,0.0,535.33
Bacteria,Prevotella intermedia ( 28131 ),Prevotella ( 838 ),165,15,7316,1.09,10.63,14.16,532.78,0.22,3.1,2.31,348.48
Bacteria,Prevotella buccae ( 28126 ),Prevotella ( 838 ),104,14,7316,100.0,10.63,0.08,532.78,1.75,3.1,3.66,348.48
Bacteria,Klebsiella sp. A5054 ( 97471 ),Klebsiella ( 570 ),93,7,16954,100.0,11.8,0.08,1148.76,0.0,2.96,0.0,535.33
Bacteria,Klebsiella sp. SW2 ( 1570431 ),Klebsiella ( 570 ),93,7,16954,100.0,11.8,0.08,1148.76,0.0,2.96,0.0,535.33
Bacteria,Prevotella sp. oral clone DO039 ( 163595 ),Prevotella ( 838 ),84,7,7316,100.0,10.63,0.08,532.78,0.0,3.1,0.0,348.48
Bacteria,Prevotella sp. RS2 ( 126378 ),Prevotella ( 838 ),84,7,7316,100.0,10.63,0.08,532.78,0.0,3.1,0.0,348.48
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),42,21,6,11.7,2.0,1.67,1.67,3.78,1.86,0.48,1.27
Bacteria,Fusobacterium hwasookii ( 1583098 ),Fusobacterium ( 848 ),39,8,311,28.15,0.67,0.08,43.51,12.4,6.49,0.48,19.97
Bacteria,Prevotella dentalis ( 52227 ),Prevotella ( 838 ),39,3,7316,1.03,10.63,3.66,532.78,-0.05,3.1,0.8,348.48
Bacteria,Prevotella sp. oral taxon 299 ( 652716 ),Prevotella ( 838 ),33,3,7316,0.29,10.63,10.58,532.78,0.42,3.1,0.16,348.48
Bacteria,Porphyromonas endodontalis ( 28124 ),Porphyromonas ( 836 ),23,21,1,0.64,-0.12,0.08,1.99,1.74,1.11,12.09,14.56
Bacteria,Parvimonas micra ( 33033 ),Parvimonas ( 543311 ),18,5,13,0.16,0.16,3.9,3.9,2.7,3.36,1.99,2.47
Bacteria,Prevotella ruminicola ( 839 ),Prevotella ( 838 ),15,1,7316,0.8,10.63,1.83,532.78,0.04,3.1,0.08,348.48
Bacteria,Salmonella enterica ( 28901 ),Salmonella ( 590 ),9,6,4,-0.03,-0.04,3.02,3.1,1.48,1.46,4.3,4.3
Bacteria,Prevotella loescheii ( 840 ),Prevotella ( 838 ),9,0,7316,10.27,10.63,0.08,532.78,0.52,3.1,0.32,348.48
Bacteria,Enterobacter aerogenes ( 548 ),Enterobacter ( 547 ),6,59,1,4.7,-0.11,5.81,7.56,6.48,0.29,4.93,12.89
Bacteria,Klebsiella oxytoca ( 571 ),Klebsiella ( 570 ),3,0,16954,0.05,11.8,6.68,1148.76,0.01,2.96,3.26,535.33
Bacteria,Yersinia pestis ( 632 ),Yersinia ( 629 ),3,10,1,3.5,0.36,3.1,4.45,0.78,0.0,0.16,1.43
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),3,2,2,1.47,1.47,1.43,1.43,0.0,0.0,0.0,0.0
Bacteria,Prevotella sp. SEQ116 ( 1123821 ),Prevotella ( 838 ),2,0,7316,3.52,10.63,0.08,532.78,0.0,3.1,0.0,348.48
Bacteria,Treponema sp. OMZ 838 ( 1539298 ),Treponema ( 157 ),2,3,3,0.99,0.15,1.75,2.55,3.31,1.28,0.48,2.7
Bacteria,Enterobacter sp. 638 ( 399742 ),Enterobacter ( 547 ),1,6,1,-0.14,-0.11,0.08,7.56,1.35,0.29,5.17,12.89
Bacteria,Treponema medium ( 58231 ),Treponema ( 157 ),1,8,3,100.0,0.15,0.08,2.55,1.16,1.28,0.32,2.7
Bacteria,Odoribacter splanchnicus ( 28118 ),Odoribacter ( 283168 ),1,1,1,0.93,0.93,1.43,1.43,0.51,0.01,0.16,0.16
Bacteria,Filifactor alocis ( 143361 ),Filifactor ( 44259 ),1,0,1,0.34,0.34,0.87,0.87,1.38,1.38,0.48,0.48
Bacteria,Treponema denticola ( 158 ),Treponema ( 157 ),0,0,3,-0.05,0.15,0.32,2.55,1.27,1.28,0.56,2.7
Bacteria,Tannerella forsythia ( 28112 ),Tannerella ( 195950 ),0,1,1,0.31,0.31,6.12,6.12,-0.11,-0.11,0.72,1.03
Eukaryotes,Perkinsus marinus ( 31276 ),Perkinsus ( 28000 ),0,0,0,2.72,2.72,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Candidatus Arthromitus sp. SFB-mouse ( 49118 ),Candidatus Arthromitus ( 49082 ),0,0,0,3.14,2.22,0.08,0.08,0.0,0.0,0.0,0.0
