Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Viruses,Human herpesvirus 5 ( 10359 ),Cytomegalovirus ( 10358 ),4662,139,93,99.0,0.57,0.94,0.94,99.0,99.0,0.47,0.55
Bacteria,Bergeriella denitrificans ( 494 ),Bergeriella ( 334108 ),768,7,7,99.0,99.0,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),1,7,6,1.27,0.24,6.27,13.09,-0.05,0.25,0.94,7.76
Bacteria,Neisseria polysaccharea ( 489 ),Neisseria ( 482 ),1,7,6,100.0,0.24,0.08,13.09,0.21,0.25,0.08,7.76
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),1,0,0,2.7,2.7,0.24,0.24,0.0,0.0,0.0,0.0
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),0,3,6,2.39,0.24,1.57,13.09,-0.11,0.25,0.08,7.76
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),0,0,0,2.22,2.22,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Neisseria gonorrhoeae ( 485 ),Neisseria ( 482 ),0,1,6,1.02,0.24,1.41,13.09,0.45,0.25,0.39,7.76
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),0,6,0,0.61,0.09,7.6,8.0,1.0,-0.05,1.96,2.51
Bacteria,Neisseria subflava ( 28449 ),Neisseria ( 482 ),0,0,6,11.45,0.24,0.08,13.09,0.0,0.25,0.0,7.76
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),0,0,0,0.75,0.73,0.24,0.24,0.0,0.0,0.0,0.0
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),0,0,0,0.48,0.48,0.47,0.47,0.0,0.0,0.0,0.0
Bacteria,Neisseria mucosa ( 488 ),Neisseria ( 482 ),0,0,6,0.99,0.24,0.08,13.09,0.47,0.25,0.39,7.76
Bacteria,Neisseria elongata ( 495 ),Neisseria ( 482 ),0,0,6,0.08,0.24,3.45,13.09,-0.1,0.25,0.16,7.76
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),0,0,0,1.33,0.09,0.24,0.24,0.0,-0.31,0.0,0.08
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,0.11,0.11,0.39,0.39,0.0,0.0,0.0,0.0
Environmental samples,uncultured bacterium A1Q1_fos_150 ( 1256549 ),No genus ( -1 ),0,0,0,-0.18,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Unclassified Sequence (synthetic),uncultured organism ( 155900 ),No genus ( -1 ),0,0,0,-0.29,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Unclassified Phage,Neisseria meningitidis phage 2120 ( 132905 ),No genus ( -1 ),0,7,0,99.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Bacteria,butyrate-producing bacterium SS3/4 ( 245014 ),No genus ( -1 ),0,0,0,0.78,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.0,0.47,0.0,0.0,0.0,0.0,0.0
Bacteria,Cellvibrio japonicus ( 155077 ),Cellvibrio ( 10 ),0,0,0,-0.09,-0.09,0.08,0.08,0.0,0.0,0.0,0.0
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),0,0,0,-0.13,-0.13,0.08,0.08,0.0,0.0,0.0,0.0
Mammalia,Papio anubis ( 9555 ),Papio ( 9554 ),0,0,0,-0.16,-0.16,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Neisseria oralis ( 1107316 ),Neisseria ( 482 ),0,0,6,-0.11,0.24,0.08,13.09,0.0,0.25,0.0,7.76
Bacteria,Microlunatus phosphovorus ( 29405 ),Microlunatus ( 29404 ),0,0,0,-0.16,-0.16,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Neisseria cinerea ( 483 ),Neisseria ( 482 ),0,0,6,-0.11,0.24,0.08,13.09,0.0,0.25,0.0,7.76
Bacteria,Pasteurella multocida ( 747 ),Pasteurella ( 745 ),0,0,0,-0.19,-0.19,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Streptococcus anginosus ( 1328 ),Streptococcus ( 1301 ),0,0,-5,-0.22,-0.17,0.08,14.03,0.0,-0.21,0.0,5.88
Bacteria,Chryseobacterium sp. StRB126 ( 878220 ),Chryseobacterium ( 59732 ),0,0,0,-0.2,-0.2,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Streptococcus sp. I-G2 ( 1156431 ),Streptococcus ( 1301 ),0,0,-5,-0.08,-0.17,0.24,14.03,0.0,-0.21,0.0,5.88
Bacteria,Aggregatibacter aphrophilus ( 732 ),Aggregatibacter ( 416916 ),0,0,0,-0.13,-0.16,0.08,0.08,-0.08,-0.14,0.16,0.16
Bacteria,Rothia dentocariosa ( 2047 ),Rothia ( 32207 ),0,0,0,-0.14,-0.1,0.16,5.41,-0.18,-0.04,0.16,2.74
Bacteria,Campylobacter concisus ( 199 ),Campylobacter ( 194 ),0,0,0,-0.1,-0.19,0.16,0.24,0.05,-0.15,0.16,0.24
Bacteria,Arcanobacterium haemolyticum ( 28264 ),Arcanobacterium ( 28263 ),0,0,0,-0.16,-0.34,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Fusobacterium nucleatum ( 851 ),Fusobacterium ( 848 ),0,0,0,-0.17,-0.17,0.16,0.16,0.0,-0.37,0.0,0.08
Bacteria,Dechloromonas aromatica ( 259537 ),Dechloromonas ( 73029 ),0,0,0,-0.24,-0.24,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Streptococcus thermophilus ( 1308 ),Streptococcus ( 1301 ),0,0,-5,-0.15,-0.17,0.24,14.03,0.0,-0.21,0.0,5.88
Bacteria,Chromobacterium violaceum ( 536 ),Chromobacterium ( 535 ),0,0,0,-0.29,-0.29,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Haemophilus influenzae ( 727 ),Haemophilus ( 724 ),0,0,0,-0.13,0.09,0.39,8.0,-0.16,-0.05,0.31,2.51
Bacteria,Pseudomonas denitrificans ( 43306 ),Pseudomonas ( 286 ),0,0,0,-0.35,-0.3,0.08,0.0,0.0,0.0,0.0,0.0
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),0,0,0,-0.25,-0.22,0.16,0.16,0.0,-0.16,0.0,0.08
Bacteria,Pseudomonas simiae ( 321846 ),Pseudomonas ( 286 ),0,0,0,-0.37,-0.3,0.08,0.0,0.0,0.0,0.0,0.0
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),0,0,0,-0.24,-0.25,0.16,0.16,0.0,0.0,0.0,0.0
Bacteria,Arthrobacter sp. PAMC25486 ( 1494608 ),Arthrobacter ( 1663 ),0,0,0,-0.35,-0.37,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Streptococcus sp. I-P16 ( 1156433 ),Streptococcus ( 1301 ),0,0,-5,-0.19,-0.17,0.31,14.03,0.0,-0.21,0.0,5.88
Bacteria,Agrobacterium sp. H13-3 ( 861208 ),Agrobacterium ( 357 ),0,0,0,-0.32,-0.42,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Streptococcus gordonii ( 1302 ),Streptococcus ( 1301 ),0,0,-5,-0.12,-0.17,0.31,14.03,-0.1,-0.21,0.24,5.88
Bacteria,Modestobacter marinus ( 477641 ),Modestobacter ( 88138 ),0,0,0,-0.39,-0.39,0.08,0.08,0.0,0.0,0.0,0.0
