Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Bacteria,Caldilinea aerophila ( 133453 ),Caldilinea ( 233191 ),8160530,87758,83801,99.0,99.0,451.13,451.13,86.76,86.76,496.74,496.74
Bacteria,Mycobacterium llatzerense ( 280871 ),Mycobacterium ( 1763 ),3208020,57960,538798,40.28,21.7,0.13,6992.82,99.0,55.35,585.4,7503.15
Bacteria,Tistrella mobilis ( 171437 ),Tistrella ( 171436 ),2132510,26749,38763,65.63,65.63,235.45,235.45,99.0,99.0,114.09,114.09
Bacteria,Thermaerobacter marianensis ( 73919 ),Thermaerobacter ( 73918 ),2086140,21072,38681,99.0,99.0,195.36,195.36,99.0,99.0,17.49,190.92
Fungi,Chaetomium globosum ( 38033 ),Chaetomium ( 5149 ),1894930,19140,23309,99.0,99.0,117.32,117.73,99.0,99.0,76.02,76.69
Bacteria,Anoxybacillus flavithermus ( 33934 ),Anoxybacillus ( 150247 ),1775530,19128,26020,99.0,99.0,158.63,159.17,78.32,64.48,43.73,96.87
Bacteria,Mycobacterium avium ( 1764 ),Mycobacterium ( 1763 ),1569890,58261,538798,99.0,21.7,496.74,6992.82,99.0,55.35,91.76,7503.15
Bacteria,Mycobacterium smegmatis ( 1772 ),Mycobacterium ( 1763 ),1280420,49105,538798,35.08,21.7,1217.63,6992.82,75.58,55.35,84.49,7503.15
Bacteria,Mycobacterium sp. MCS ( 164756 ),Mycobacterium ( 1763 ),1094870,49493,538798,81.86,21.7,596.97,6992.82,81.13,55.35,7.67,7503.15
Bacteria,Mycobacterium kansasii ( 1768 ),Mycobacterium ( 1763 ),818265,34923,538798,99.0,21.7,334.61,6992.82,66.12,55.35,27.18,7503.15
Bacteria,Mycobacterium sp. JLS ( 164757 ),Mycobacterium ( 1763 ),705479,27678,538798,99.0,21.7,248.1,6992.82,99.0,55.35,31.48,7503.15
Bacteria,Meiothermus silvanus ( 52022 ),Meiothermus ( 65551 ),637514,7765,9320,99.0,91.18,53.95,60.81,99.0,62.07,24.49,58.66
Bacteria,Mycobacterium intracellulare ( 1767 ),Mycobacterium ( 1763 ),626780,28548,538798,99.0,21.7,286.18,6992.82,24.11,55.35,9.01,7503.15
Bacteria,Mycobacterium gilvum ( 1804 ),Mycobacterium ( 1763 ),528797,15797,538798,14.27,21.7,719.41,6992.82,99.0,55.35,55.84,7503.15
Bacteria,Mycobacterium sp. JDM601 ( 875328 ),Mycobacterium ( 1763 ),505993,22017,538798,99.0,21.7,213.93,6992.82,99.0,55.35,8.48,7503.15
Bacteria,Oscillatoria acuminata ( 118323 ),Oscillatoria ( 1158 ),505493,6096,8635,14.6,9.97,75.48,79.25,99.0,99.0,50.45,51.93
Bacteria,Pantoea dispersa ( 59814 ),Pantoea ( 53335 ),371315,11821,4279,1.03,16.06,0.27,90.14,98.61,31.41,119.88,162.26
Bacteria,Micrococcus luteus ( 1270 ),Micrococcus ( 1269 ),350907,11780,22563,3.21,3.18,574.37,595.23,35.25,34.72,281.87,297.75
Bacteria,Geobacillus thermoleovorans ( 33941 ),Geobacillus ( 129337 ),303089,4641,16688,99.0,65.42,46.69,164.95,5.48,35.75,3.63,66.87
Bacteria,Symbiobacterium thermophilum ( 2734 ),Symbiobacterium ( 2733 ),286406,2970,3702,96.23,94.82,19.11,19.11,99.0,99.0,11.44,11.44
Bacteria,Mycobacterium rhodesiae ( 36814 ),Mycobacterium ( 1763 ),253530,7616,538798,17.05,21.7,292.9,6992.82,49.86,55.35,52.61,7503.15
Bacteria,Mycobacterium yongonense ( 1203599 ),Mycobacterium ( 1763 ),235738,7765,538798,99.0,21.7,58.26,6992.82,99.0,55.35,20.18,7503.15
Bacteria,Blastococcus saxobsidens ( 138336 ),Blastococcus ( 38501 ),224948,7604,10542,22.98,22.36,175.45,175.45,57.72,37.73,61.89,116.52
Bacteria,Bacillus cereus ( 1396 ),Bacillus ( 1386 ),213197,15112,3347,99.0,14.21,151.23,197.11,5.28,2.77,26.64,93.24
Bacteria,Mycobacterium vanbaalenii ( 110539 ),Mycobacterium ( 1763 ),211586,6516,538798,8.69,21.7,509.79,6992.82,53.09,55.35,39.29,7503.15
Bacteria,Mycobacterium sp. KMS ( 189918 ),Mycobacterium ( 1763 ),207403,9148,538798,99.0,21.7,89.74,6992.82,32.73,55.35,8.07,7503.15
Bacteria,Mycobacterium sp. MOTT36Y ( 1168287 ),Mycobacterium ( 1763 ),203592,9282,538798,99.0,21.7,93.1,6992.82,53.54,55.35,1.21,7503.15
Bacteria,Mycobacterium septicum ( 98668 ),Mycobacterium ( 1763 ),202890,3690,538798,100.0,21.7,0.4,6992.82,99.0,55.35,36.87,7503.15
Bacteria,Geobacillus sp. Y412MC61 ( 544556 ),Geobacillus ( 129337 ),181252,2770,16688,99.0,65.42,27.99,164.95,0.0,35.75,0.0,66.87
Bacteria,Geobacillus sp. C56-T3 ( 691437 ),Geobacillus ( 129337 ),166132,2800,16688,99.0,65.42,22.47,164.95,73.86,35.75,7.8,66.87
Bacteria,Geobacillus kaustophilus ( 1462 ),Geobacillus ( 129337 ),154535,2564,16688,99.0,65.42,21.39,164.95,83.06,35.75,5.38,66.87
