Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),414,11,89,10.52,10.52,0.81,0.81,100.0,100.0,0.03,0.03
Mammalia,Pongo abelii ( 9601 ),Pongo ( 9599 ),231,23,22,10.16,10.03,2.27,2.27,0.0,0.0,0.0,0.0
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),55,73,6,13.82,0.74,3.28,4.35,15.21,0.8,1.82,2.4
Fungi,Candida glabrata ( 5478 ),Nakaseomyces ( 374468 ),54,6,11,0.74,0.72,1.07,1.07,11.38,9.68,0.49,0.49
Mammalia,Gorilla gorilla ( 9593 ),Gorilla ( 9592 ),43,11,11,3.81,3.81,2.99,2.99,0.0,0.0,0.0,0.0
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),42,11,14,3.68,3.68,3.12,3.12,1.01,1.01,0.1,0.1
Mammalia,Chlorocebus aethiops ( 9534 ),Chlorocebus ( 392815 ),31,7,7,16.93,4.14,0.45,1.75,0.0,0.0,0.0,0.0
Mammalia,Nomascus leucogenys ( 61853 ),Nomascus ( 325165 ),25,2,2,9.27,9.27,0.29,0.29,0.0,0.0,0.0,0.0
Mammalia,Chlorocebus sabaeus ( 60711 ),Chlorocebus ( 392815 ),17,4,7,3.16,4.14,1.3,1.75,0.0,0.0,0.0,0.0
Mammalia,Macaca fascicularis ( 9541 ),Macaca ( 9539 ),16,10,7,18.12,1.67,0.55,4.19,0.0,0.0,0.0,0.0
Mammalia,Macaca nemestrina ( 9545 ),Macaca ( 9539 ),14,8,7,11.28,1.67,0.75,4.19,0.0,0.0,0.0,0.0
Mammalia,Mandrillus leucophaeus ( 9568 ),Mandrillus ( 9567 ),7,1,1,4.97,4.97,0.29,0.29,0.0,0.0,0.0,0.0
Mammalia,Macaca mulatta ( 9544 ),Macaca ( 9539 ),5,3,7,1.09,1.67,2.89,4.19,0.0,0.0,0.0,0.0
Mammalia,Colobus angolensis ( 54131 ),Colobus ( 9570 ),1,0,0,4.86,4.86,0.06,0.06,0.0,0.0,0.0,0.0
Mammalia,Callithrix jacchus ( 9483 ),Callithrix ( 9481 ),0,0,0,2.24,2.24,0.13,0.13,0.0,0.0,0.0,0.0
Fungi,Candida dubliniensis ( 42374 ),Candida ( 1535326 ),0,0,6,1.73,0.74,0.26,4.35,5.94,0.8,0.06,2.4
Caudovirales (dsDNA phages),Staphylococcus phage Pvl108 ( 360398 ),77likevirus ( 1623274 ),0,0,0,9.41,1.84,0.03,0.03,0.0,0.0,0.0,0.0
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,0.53,0.53,0.26,0.26,0.0,0.0,0.0,0.0
Mammalia,Galeopterus variegatus ( 482537 ),Galeopterus ( 482536 ),0,0,0,1.34,1.34,0.03,0.03,0.0,0.0,0.0,0.0
Deuterostomes,Alligator mississippiensis ( 8496 ),Alligator ( 8495 ),0,0,0,0.8,0.24,0.1,0.1,0.0,0.0,0.0,0.0
Fungi,Candida parapsilosis ( 5480 ),Candida ( 1535326 ),0,0,6,-0.02,0.74,0.81,4.35,0.04,0.8,0.49,2.4
Mammalia,Saimiri boliviensis ( 27679 ),Saimiri ( 9520 ),0,0,0,0.23,0.23,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,endosymbiont of unidentified scaly snail isolate Monju ( 1248727 ),No genus ( -1 ),0,0,0,-0.31,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Artificial Sequences,Expression vector pYM70 ( 754152 ),No genus ( -1 ),0,3,0,100.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Bacteria,butyrate-producing bacterium SSC/2 ( 245018 ),No genus ( -1 ),0,0,0,-0.18,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Artificial Sequences,Cloning vector pBC214 ( 187395 ),No genus ( -1 ),0,6,0,100.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0
Artificial Sequences,Cloning vector pSTE11-URA3 ( 978314 ),No genus ( -1 ),0,3,0,100.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Bacteria,Burkholderiales bacterium GJ-E10 ( 1469502 ),No genus ( -1 ),0,0,0,-0.34,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Caudovirales (dsDNA phages),Propionibacterium phage ATCC29399B_T ( 1229793 ),No genus ( -1 ),0,0,0,-0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0
Bacteria,Slackia heliotrinireducens ( 84110 ),Slackia ( 84108 ),0,0,0,-0.05,-0.05,0.03,0.03,0.0,0.0,0.0,0.0
Eukaryotes,Parascaris equorum ( 6256 ),Parascaris ( 6254 ),0,0,0,-0.05,-0.05,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Pseudomonas extremaustralis ( 359110 ),Pseudomonas ( 286 ),0,0,-4,-0.04,-0.29,0.03,4.66429187227273,0.0,-0.38,0.0,3.93
Bacteria,Ruminococcus sp. SR1/5 ( 657323 ),Ruminococcus ( 1263 ),0,0,0,-0.11,-0.13,0.03,0.1,0.0,-0.21,0.0,0.16
Bacteria,Butyrivibrio proteoclasticus ( 43305 ),Butyrivibrio ( 830 ),0,0,0,-0.12,-0.14,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Sphingomonas wittichii ( 160791 ),Sphingomonas ( 13687 ),0,0,0,-0.12,-0.14,0.03,0.16,0.0,-0.32,0.0,0.23
Bacteria,Aggregatibacter aphrophilus ( 732 ),Aggregatibacter ( 416916 ),0,0,0,-0.14,-0.17,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Mycobacterium neoaurum ( 1795 ),Mycobacterium ( 1763 ),0,0,0,-0.12,-0.21,0.03,0.13,0.0,-0.38,0.0,0.13
Bacteria,Mycobacterium chubuense ( 1800 ),Mycobacterium ( 1763 ),0,0,0,-0.12,-0.21,0.03,0.13,0.0,-0.38,0.0,0.13
Bacteria,Prevotella sp. oral taxon 299 ( 652716 ),Prevotella ( 838 ),0,0,0,-0.12,-0.22,0.03,0.19,0.0,-0.16,0.0,0.06
Bacteria,Tannerella forsythia ( 28112 ),Tannerella ( 195950 ),0,0,0,-0.16,-0.16,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Haemophilus influenzae ( 727 ),Haemophilus ( 724 ),0,0,0,-0.15,-0.19,0.03,0.06,0.0,-0.24,0.0,0.13
Bacteria,Fusobacterium nucleatum ( 851 ),Fusobacterium ( 848 ),0,0,0,-0.17,-0.17,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Acinetobacter baumannii ( 470 ),Acinetobacter ( 469 ),0,0,0,-0.12,-0.13,0.03,0.13,-0.13,-0.13,0.03,0.13
Bacteria,Sphingomonas taxi ( 1549858 ),Sphingomonas ( 13687 ),0,0,0,-0.12,-0.14,0.06,0.16,0.0,-0.32,0.0,0.23
Bacteria,Neisseria elongata ( 495 ),Neisseria ( 482 ),0,0,0,-0.14,-0.26,0.03,0.16,0.0,-0.34,0.0,0.13
Mammalia,Canis lupus ( 9612 ),Canis ( 9611 ),0,0,0,-0.19,-0.19,0.03,0.03,0.0,0.0,0.0,0.0
