Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Stramenopiles (heterokonts),Frustulia cf. magaliesmontana PU-2012 ( 1264789 ),Frustulia ( 431357 ),3336,33,41,100.0,99.0,0.34,0.42,0.0,0.0,0.0,0.0
Panarthropoda,Willowsia nigromaculata ( 1302335 ),Willowsia ( 181624 ),2505,166,25,99.0,15.02,1.69,1.69,0.0,0.0,0.0,0.0
Eukaryotes,Cyclidium glaucoma ( 35100 ),Cyclidium ( 35099 ),1685,16,16,100.0,100.0,0.17,0.17,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Pseudo-nitzschia caciantha ( 237457 ),Pseudo-nitzschia ( 41953 ),1419,25,33,100.0,56.16,0.25,0.59,0.0,0.0,0.0,0.0
Panarthropoda,Tigriopus californicus ( 6832 ),Tigriopus ( 6831 ),1263,12,12,100.0,100.0,0.13,0.13,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Navicula sp. CCMP2025 ( 659518 ),Navicula ( 50949 ),1251,12,16,100.0,99.0,0.13,0.17,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Asterionella formosa ( 210441 ),Asterionella ( 35129 ),1238,12,12,99.0,99.0,0.13,0.13,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Pseudo-nitzschia pungens ( 37318 ),Pseudo-nitzschia ( 41953 ),1171,20,33,99.0,56.16,0.21,0.59,0.0,0.0,0.0,0.0
Eukaryotes,Exanthemachrysis gayraliae ( 119497 ),Exanthemachrysis ( 119496 ),842,8,8,100.0,100.0,0.08,0.08,0.0,0.0,0.0,0.0
Panarthropoda,Podura aquatica ( 50589 ),Podura ( 50588 ),842,8,8,100.0,100.0,0.08,0.08,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Alpinia zerumbet ( 97723 ),Alpinia ( 94326 ),842,8,8,100.0,100.0,0.08,0.08,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Frustulia crassinervia/saxonica complex PU-2012 ( 1264794 ),Frustulia ( 431357 ),834,8,41,100.0,99.0,0.08,0.42,0.0,0.0,0.0,0.0
Panarthropoda,Desoria sp. KHP-2008 ( 574231 ),Desoria ( 281417 ),825,10,10,80.81,80.81,0.13,0.13,0.0,0.0,0.0,0.0
Fungi,Arnium mendax ( 1536481 ),Arnium ( 438767 ),666,16,6,100.0,39.57,0.17,0.17,0.0,0.0,0.0,0.0
Panarthropoda,Phrictaeformia insulana ( 1395744 ),Phrictaeformia ( 1395743 ),549,13,13,40.39,40.39,0.34,0.34,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Pseudo-nitzschia circumpora ( 1073398 ),Pseudo-nitzschia ( 41953 ),473,8,33,100.0,56.16,0.08,0.59,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Synura conopea ( 1285452 ),Synura ( 2991 ),421,4,8,100.0,100.0,0.04,0.08,0.0,0.0,0.0,0.0
Eukaryotes,Glaucomides sp. 2 TS-2013 ( 1349814 ),Glaucomides ( 289480 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Bacteria,Luteimicrobium sp. LRZ-2 ( 1593235 ),Luteimicrobium ( 754249 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Fungi,Onnia tomentosa ( 167361 ),Onnia ( 167359 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Red Algae,Caloglossa pacifica ( 210848 ),Caloglossa ( 31388 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Eukaryotes,Phytomonas sp. Aca ( 223604 ),Phytomonas ( 5706 ),421,4,4,100.0,100.0,0.04,0.04,0.0,-0.15,0.0,0.04
Stramenopiles (heterokonts),Synedra hyperborea ( 265534 ),Synedra ( 191584 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Eukaryotes,Hexamita inflata ( 28002 ),Hexamita ( 13567 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Odontella sinensis ( 2839 ),Odontella ( 2838 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Polytoma uvella ( 40532 ),Polytoma ( 40525 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Bacteria,Candidatus Microthrix parvicella ( 41950 ),Candidatus Microthrix ( 41949 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Fragilaria bidens ( 432268 ),Fragilaria ( 33644 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Fungi,Myriococcum thermophilum ( 455373 ),Myriococcum ( 455372 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Eukaryotes,Spironucleus sp. GEPA2H ( 460176 ),Spironucleus ( 39709 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Eukaryotes,Trepomonas steinii ( 460178 ),Trepomonas ( 44997 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Panarthropoda,Pipunculus spinipes ( 511118 ),Pipunculus ( 240898 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Bacteria,uncultured Azonexus sp. ( 520307 ),Azonexus ( 146936 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Synura petersenii ( 52555 ),Synura ( 2991 ),421,4,8,100.0,100.0,0.04,0.08,0.0,0.0,0.0,0.0
Eukaryotes,Petalomonas sphagnophila ( 759128 ),Petalomonas ( 56451 ),421,4,4,100.0,100.0,0.04,0.04,0.0,0.0,0.0,0.0
Eukaryotes,Pseudocohnilembus persalinus ( 266149 ),Pseudocohnilembus ( 35103 ),381,4,3,100.0,90.49,0.04,0.04,0.0,0.0,0.0,0.0
Panarthropoda,Homidia koreana ( 574219 ),Homidia ( 301513 ),333,37,3,100.0,8.8,0.38,0.38,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Navicula salinicola ( 63141 ),Navicula ( 50949 ),310,3,16,74.36,99.0,0.04,0.17,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Didymosphenia geminata ( 1115533 ),Didymosphenia ( 1115532 ),265,8,8,30.02,30.02,0.29,0.29,0.0,0.0,0.0,0.0
Amoebozoa,Vannella septentrionalis ( 197531 ),Vannella ( 95228 ),256,3,3,77.97,77.97,0.04,0.04,0.0,0.0,0.0,0.0
Bacteria,Hazenella coriacea ( 1179467 ),Hazenella ( 1343556 ),250,10,10,24.4,24.4,0.42,0.42,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Pseudo-nitzschia multistriata ( 183589 ),Pseudo-nitzschia ( 41953 ),236,4,33,100.0,56.16,0.04,0.59,0.0,0.0,0.0,0.0
Fungi,Candida dubliniensis ( 42374 ),Candida ( 1535326 ),221,303,6,39.11,0.96,5.1,5.31,99.0,0.3,1.05,1.22
Panarthropoda,Sminthurus viridis ( 109609 ),Sminthurus ( 109608 ),204,15,15,13.41,13.41,1.14,1.14,0.0,0.0,0.0,0.0
Bacteria,Mesotoga prima ( 1184387 ),Mesotoga ( 1184396 ),177,3,3,45.95,45.95,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Tatumella saanichensis ( 480813 ),Tatumella ( 82986 ),175,4,1,100.0,41.7,0.04,0.04,0.0,0.0,0.0,0.0
Bacteria,Desmonostoc muscorum ( 1179 ),Desmonostoc ( 1340414 ),127,2,2,55.1,55.1,0.04,0.04,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Skeletonema pseudocostatum ( 41457 ),Skeletonema ( 2842 ),88,4,1,99.0,21.21,0.04,0.04,0.0,24.12,0.0,0.04
Stramenopiles (heterokonts),Phaeodactylum tricornutum ( 2850 ),Phaeodactylum ( 2849 ),85,8,8,10.65,10.65,0.76,0.76,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Amphora sp. ND 71 ( 565054 ),Amphora ( 59796 ),80,8,3,100.0,9.59,0.08,0.34,0.0,0.0,0.0,0.0
