Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Viruses,Influenza C virus ( 11552 ),Influenzavirus C ( 197913 ),23050500,230505,310799,100.0,100.0,1553.99,1553.99,100.0,100.0,751.06,751.06
Eukaryotes,Adineta vaga ( 104782 ),Adineta ( 104781 ),2949,29,29,100.0,100.0,0.29,0.29,0.0,0.0,0.0,0.0
Eukaryotes,Hirschmanniella oryzae ( 362338 ),Hirschmanniella ( 46009 ),1966,19,19,100.0,100.0,0.2,0.2,0.0,0.0,0.0,0.0
Eukaryotes,Rotaria tardigrada ( 392034 ),Rotaria ( 231623 ),973,9,22,100.0,99.0,0.1,0.23,0.0,0.0,0.0,0.0
Eukaryotes,Rotaria rotatoria ( 231624 ),Rotaria ( 231623 ),973,9,22,100.0,99.0,0.1,0.23,0.0,0.0,0.0,0.0
Eukaryotes,Aglenchus agricola ( 312543 ),Aglenchus ( 239366 ),327,3,3,100.0,100.0,0.03,0.03,0.0,0.0,0.0,0.0
Eukaryotes,Hexamita sp. ( 28003 ),Hexamita ( 13567 ),327,3,3,100.0,100.0,0.03,0.03,0.0,0.0,0.0,0.0
Fungi,Encephalitozoon hellem ( 27973 ),Encephalitozoon ( 6033 ),327,3,3,100.0,100.0,0.03,0.03,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Scytosiphon lomentaria ( 27967 ),Scytosiphon ( 27966 ),327,3,3,100.0,100.0,0.03,0.03,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Spumella sp. HFCC26 ( 459030 ),Spumella ( 89043 ),327,3,3,100.0,100.0,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Rickettsiella melolonthae ( 445728 ),Rickettsiella ( 59195 ),311,3,3,97.42,97.42,0.03,0.03,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Frustulia crassinervia/saxonica complex PU-2012 ( 1264794 ),Frustulia ( 431357 ),229,3,2,100.0,70.17,0.03,0.03,0.0,0.0,0.0,0.0
Eukaryotes,Hysterothylacium sp. GC-2011 ( 1109727 ),Hysterothylacium ( 59255 ),204,3,2,100.0,62.34,0.03,0.03,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Navicula sp. TN-2014 ( 1529374 ),Navicula ( 50949 ),82,3,0,100.0,25.11,0.03,0.03,0.0,0.0,0.0,0.0
Eukaryotes,Rotaria sordida ( 392033 ),Rotaria ( 231623 ),67,0,22,20.82,99.0,0.03,0.23,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Pinus strobus ( 3348 ),Pinus ( 3337 ),14,9,5,100.0,1.43,0.1,4.16,0.0,0.0,0.0,0.0
Stramenopiles (heterokonts),Chaetoceros cf. neogracile ( 1048532 ),Chaetoceros ( 49237 ),9,3,0,100.0,3.0,0.03,0.03,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Pinus lambertiana ( 3343 ),Pinus ( 3337 ),9,6,5,100.0,1.43,0.07,4.16,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Pinus densiflora ( 77912 ),Pinus ( 3337 ),9,6,5,99.0,1.43,0.07,4.16,0.0,0.0,0.0,0.0
Bacteria,Alloprevotella rava ( 671218 ),Alloprevotella ( 1283313 ),7,3,0,100.0,2.35,0.03,0.03,0.0,-0.22,0.0,0.1
Viridiplantae (green plants),Pinus taeda ( 3352 ),Pinus ( 3337 ),7,5,5,1.34,1.43,3.8,4.16,0.0,0.0,0.0,0.0
Viruses,Ralstonia phage RSM1 ( 384359 ),Inovirus ( 10861 ),5,3,0,100.0,1.66,0.03,0.03,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Pinus edulis ( 3340 ),Pinus ( 3337 ),4,3,5,100.0,1.43,0.03,4.16,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Castanea sativa ( 21020 ),Castanea ( 21019 ),3,3,0,100.0,1.04,0.03,0.03,0.0,0.0,0.0,0.0
Deuterostomes,Tropiometra carinata ( 707740 ),Tropiometra ( 707738 ),3,0,0,5.63,5.63,0.1,0.1,0.0,0.0,0.0,0.0
Fungi,Annulohypoxylon stygium ( 326628 ),Annulohypoxylon ( 326606 ),1,0,0,-0.09,-0.11,0.03,0.03,7.23,7.23,0.03,0.03
Viruses,Human mastadenovirus C ( 129951 ),Mastadenovirus ( 10509 ),0,0,0,1.42,1.42,0.36,0.36,-0.05,-0.05,0.03,0.03
Red Algae,Calliarthron tuberculosum ( 48942 ),Calliarthron ( 48940 ),0,0,0,4.52,4.52,0.03,0.03,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Pinus koraiensis ( 88728 ),Pinus ( 3337 ),0,0,5,11.47,1.43,0.03,4.16,0.0,0.0,0.0,0.0
Viruses,Betapapillomavirus 2 ( 333924 ),Betapapillomavirus ( 333922 ),0,0,0,5.78,1.12,0.03,0.03,5.78,1.72,0.03,0.03
Stramenopiles (heterokonts),Didymosphenia geminata ( 1115533 ),Didymosphenia ( 1115532 ),0,0,0,3.14,3.14,0.03,0.03,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Pinus monticola ( 3345 ),Pinus ( 3337 ),0,0,5,6.77,1.43,0.03,4.16,0.0,0.0,0.0,0.0
Bacteria,Thermodesulfobium narugense ( 184064 ),Thermodesulfobium ( 227388 ),0,0,0,2.8,2.8,0.03,0.03,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Phleum pratense ( 15957 ),Phleum ( 15956 ),0,0,0,2.66,2.66,0.03,0.03,0.0,0.0,0.0,0.0
Panarthropoda,Ceratosolen solmsi ( 142686 ),Ceratosolen ( 84507 ),0,0,0,1.42,1.42,0.1,0.1,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Pinus pinaster ( 71647 ),Pinus ( 3337 ),0,0,5,4.18,1.43,0.03,4.16,0.0,0.0,0.0,0.0
Eukaryotes,Prorhynchus alpinus ( 1468198 ),Prorhynchus ( 39219 ),0,0,0,2.35,2.35,0.03,0.03,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Hyoscyamus niger ( 4079 ),Hyoscyamus ( 4078 ),0,0,0,2.34,2.34,0.03,0.03,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Fasciculochloris sp. CCCryo244-06 ( 915286 ),Fasciculochloris ( 361665 ),0,0,0,1.58,1.58,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Protochlamydia naegleriophila ( 389348 ),Candidatus Protochlamydia ( 282132 ),0,0,0,3.44,0.36,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Alteromonas australica ( 589873 ),Alteromonas ( 226 ),0,0,0,2.14,0.05,0.33,0.33,0.0,0.0,0.0,0.0
Bacteria,Thermodesulfobacterium commune ( 1741 ),Thermodesulfobacterium ( 1740 ),0,0,0,1.61,0.59,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Candidatus Ruthia magnifica ( 386487 ),Candidatus Ruthia ( 1541743 ),0,0,0,0.97,0.97,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Melioribacter roseus ( 1134405 ),Melioribacter ( 1134403 ),0,0,0,0.78,0.78,0.03,0.03,0.0,0.0,0.0,0.0
Fungi,Udeniomyces sp. PDD-25b-4 ( 996266 ),Udeniomyces ( 42658 ),0,0,0,1.8,0.25,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Dehalogenimonas lykanthroporepellens ( 552810 ),Dehalogenimonas ( 670486 ),0,0,0,0.62,0.62,0.03,0.03,0.0,0.0,0.0,0.0
Bacteria,Deferribacter desulfuricans ( 197162 ),Deferribacter ( 53572 ),0,0,0,0.46,0.46,0.03,0.03,0.0,0.0,0.0,0.0
Fungi,Metapochonia suchlasporia ( 132136 ),Metapochonia ( 1647406 ),0,0,0,0.41,0.41,0.03,0.03,0.0,0.0,0.0,0.0
