Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Mammalia,Ovis aries ( 9940 ),Ovis ( 9935 ),24579,469,469,52.35,52.35,8.97,8.97,0.0,0.0,0.0,0.0
Mammalia,Bison bison ( 9901 ),Bison ( 9900 ),9407,96,101,99.0,97.46,0.98,1.04,0.0,0.0,0.0,0.0
Panarthropoda,Euphydryas editha ( 104508 ),Euphydryas ( 104501 ),7150,71,71,100.0,100.0,0.72,0.72,0.0,0.0,0.0,0.0
Bacteria,Streptococcus parasanguinis ( 1318 ),Streptococcus ( 1301 ),5992,11874,676,24.97,0.25,222.17,691.61,86.53,0.73,73.13,234.13
Mammalia,Bos taurus ( 9913 ),Bos ( 9903 ),5331,275,285,19.07,19.37,14.43,14.76,0.0,0.0,0.0,0.0
Eukaryotes,Onchocerca ochengi ( 42157 ),Onchocerca ( 6281 ),3574,154,90,40.21,23.18,3.84,3.9,0.0,0.0,0.0,0.0
Mammalia,Eubalaena japonica ( 302098 ),Eubalaena ( 27605 ),650,6,6,100.0,100.0,0.07,0.07,0.0,0.0,0.0,0.0
Eukaryotes,Herpetomonas muscarum ( 5718 ),Herpetomonas ( 5714 ),650,6,6,100.0,100.0,0.07,0.07,0.0,0.0,0.0,0.0
Mammalia,Tragelaphus angasii ( 66437 ),Tragelaphus ( 9944 ),650,6,6,100.0,100.0,0.07,0.07,0.0,0.0,0.0,0.0
Mammalia,Bison bonasus ( 9902 ),Bison ( 9900 ),471,4,101,74.45,97.46,0.07,1.04,0.0,0.0,0.0,0.0
Bacteria,Rothia mucilaginosa ( 43675 ),Rothia ( 32207 ),462,270,172,0.63,0.38,70.79,73.58,8.63,1.97,26.2,28.08
Bacteria,Veillonella atypica ( 39777 ),Veillonella ( 29465 ),307,346,82,99.0,0.56,0.91,52.98,24.35,1.0,10.53,41.08
Mammalia,Bos indicus ( 9915 ),Bos ( 9903 ),251,13,285,100.0,19.37,0.13,14.76,0.0,0.0,0.0,0.0
Bacteria,Streptococcus salivarius ( 1304 ),Streptococcus ( 1301 ),221,427,676,1.14,0.25,163.54,691.61,5.91,0.73,40.69,234.13
Caudovirales (dsDNA phages),Streptococcus phage O1205 ( 85154 ),Sfi1unalikevirus ( 1623303 ),186,6,1,100.0,28.74,0.07,0.07,0.0,0.0,0.0,0.0
Mammalia,Bos mutus ( 72004 ),Bos ( 9903 ),140,7,285,37.12,19.37,0.2,14.76,0.0,0.0,0.0,0.0
Bacteria,Veillonella dispar ( 39778 ),Veillonella ( 29465 ),102,103,82,29.36,0.56,0.13,52.98,10.81,1.0,9.23,41.08
Mammalia,Bubalus bubalis ( 89462 ),Bubalus ( 9918 ),81,7,7,10.25,10.25,0.78,0.78,0.0,0.0,0.0,0.0
Bacteria,Granulicatella adiacens ( 46124 ),Granulicatella ( 117563 ),70,66,0,22.49,0.17,0.13,0.13,7.07,1.1,9.04,11.25
Bacteria,Veillonella parvula ( 29466 ),Veillonella ( 29465 ),63,76,82,0.57,0.56,51.81,52.98,5.17,1.0,9.1,41.08
Bacteria,Atopobium parvulum ( 1382 ),Atopobium ( 1380 ),27,15,5,9.97,1.68,1.43,1.43,3.59,2.38,0.46,1.56
Bacteria,Prevotella melaninogenica ( 28132 ),Prevotella ( 838 ),27,107,14,2.17,0.43,27.56,31.98,4.58,0.03,10.27,20.28
Mammalia,Muntiacus reevesi ( 9886 ),Muntiacus ( 9885 ),23,6,0,99.0,3.65,0.07,0.2,0.0,0.0,0.0,0.0
Mammalia,Capra hircus ( 9925 ),Capra ( 9922 ),17,2,2,7.39,7.39,0.33,0.33,0.0,0.0,0.0,0.0
Archaea,Fervidicoccus fontis ( 683846 ),Fervidicoccus ( 685950 ),14,0,0,14.93,14.93,0.07,0.07,0.0,0.0,0.0,0.0
Bacteria,Streptococcus mitis ( 28037 ),Streptococcus ( 1301 ),14,26,676,0.13,0.25,80.86,691.61,0.59,0.73,26.85,234.13
Bacteria,Streptococcus oralis ( 1303 ),Streptococcus ( 1301 ),8,11,676,0.0,0.25,33.15,691.61,2.59,0.73,4.42,234.13
Bacteria,Veillonella sp. OK1 ( 1096935 ),Veillonella ( 29465 ),7,13,82,100.0,0.56,0.13,52.98,0.0,1.0,0.0,41.08
Bacteria,Streptococcus pseudopneumoniae ( 257758 ),Streptococcus ( 1301 ),7,24,676,0.55,0.25,38.94,691.61,2.63,0.73,0.98,234.13
Bacteria,Neisseria meningitidis ( 487 ),Neisseria ( 482 ),6,14,15,1.78,0.46,8.13,18.92,0.04,0.37,1.17,9.23
Bacteria,Streptococcus pneumoniae ( 1313 ),Streptococcus ( 1301 ),5,4,676,-0.05,0.25,66.11,691.61,0.32,0.73,27.04,234.13
Bacteria,Neisseria lactamica ( 486 ),Neisseria ( 482 ),5,11,15,4.32,0.46,2.6,18.92,-0.04,0.37,0.13,9.23
Bacteria,Rothia sp. T40-1 ( 426589 ),Rothia ( 32207 ),4,13,172,100.0,0.38,0.13,73.58,0.0,1.97,0.0,28.08
Bacteria,Streptococcus sp. I-G2 ( 1156431 ),Streptococcus ( 1301 ),4,15,676,3.26,0.25,4.81,691.61,0.92,0.73,0.2,234.13
Bacteria,Haemophilus sp. CCUG 30218 ( 554007 ),Haemophilus ( 724 ),4,13,8,52.72,0.33,0.13,14.89,100.0,0.27,0.07,6.44
Bacteria,Streptococcus gordonii ( 1302 ),Streptococcus ( 1301 ),3,5,676,0.05,0.25,8.71,691.61,1.8,0.73,2.86,234.13
Bacteria,Streptococcus sp. I-P16 ( 1156433 ),Streptococcus ( 1301 ),3,12,676,1.48,0.25,8.71,691.61,0.06,0.73,0.26,234.13
Bacteria,Neisseria polysaccharea ( 489 ),Neisseria ( 482 ),2,6,15,100.0,0.46,0.07,18.92,0.12,0.37,0.07,9.23
Bacteria,Neisseria sp. AP476 ( 1229343 ),Neisseria ( 482 ),2,6,15,100.0,0.46,0.07,18.92,0.0,0.37,0.0,9.23
Bacteria,Prevotella pallens ( 60133 ),Prevotella ( 838 ),2,13,14,100.0,0.43,0.07,31.98,4.9,0.03,1.37,20.28
Bacteria,Haemophilus parainfluenzae ( 729 ),Haemophilus ( 724 ),2,9,8,0.61,0.33,7.61,14.89,1.63,0.27,2.8,6.44
Bacteria,Streptococcus anginosus ( 1328 ),Streptococcus ( 1301 ),2,8,676,1.03,0.25,8.78,691.61,-0.15,0.73,1.43,234.13
