Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Viridiplantae (green plants),Ulothrix zonata ( 43941 ),Ulothrix ( 43940 ),760,7,7,100.0,100.0,0.08,0.08,0.0,0.0,0.0,0.0
Fungi,Candida glabrata ( 5478 ),Nakaseomyces ( 374468 ),92,15,43,2.57,2.54,3.35,3.35,12.46,10.61,0.53,0.53
Fungi,Candida sp. YSF2 ( 485228 ),Candida ( 5475 ),77,30,0,100.0,2.56,0.3,0.3,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Micractinium reisseri ( 532145 ),Micractinium ( 126838 ),25,1,1,18.42,18.42,0.08,0.08,0.0,0.0,0.0,0.0
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),23,38,3,12.14,0.65,2.89,3.95,5.51,0.13,0.68,0.84
Fungi,Candida buenavistaensis ( 434039 ),Candida ( 1535326 ),9,15,3,100.0,0.65,0.15,3.95,0.0,0.13,0.0,0.84
Fungi,Aspergillus terricola ( 36642 ),Aspergillus ( 5052 ),7,17,1,11.78,0.45,1.44,8.29,0.0,-0.21,0.0,0.99
Fungi,Candida sojae ( 52253 ),Candida ( 1535326 ),4,7,3,100.0,0.65,0.08,3.95,0.0,0.13,0.0,0.84
Viridiplantae (green plants),Trichosarcina mucosa ( 141643 ),Trichosarcina ( 141642 ),2,1,1,2.45,2.45,0.46,0.46,0.0,0.0,0.0,0.0
Fungi,Candida dubliniensis ( 42374 ),Candida ( 1535326 ),2,5,3,5.01,0.65,0.68,3.95,14.2,0.13,0.15,0.84
Fungi,Aspergillus oryzae ( 5062 ),Aspergillus ( 5052 ),2,5,1,1.37,0.45,4.03,8.29,0.1,-0.21,0.68,0.99
Panarthropoda,Micraspis sp. JAG-2009 ( 633083 ),Micraspis ( 420092 ),1,0,0,3.88,3.88,0.08,0.08,0.0,0.0,0.0,0.0
Mammalia,Cercocebus atys ( 9531 ),Cercocebus ( 9529 ),0,0,0,1.57,1.57,0.15,0.15,0.0,0.0,0.0,0.0
Mammalia,Pan paniscus ( 9597 ),Pan ( 9596 ),0,0,0,0.91,0.91,0.38,0.38,0.0,0.0,0.0,0.0
Fungi,Aspergillus leporis ( 41062 ),Aspergillus ( 5052 ),0,0,1,2.21,0.45,0.3,8.29,0.0,-0.21,0.0,0.99
Fungi,Aspergillus flavus ( 5059 ),Aspergillus ( 5052 ),0,0,1,0.95,0.45,0.68,8.29,0.0,-0.21,0.0,0.99
Fungi,Ogataea thermophila ( 369265 ),Ogataea ( 461281 ),0,0,0,3.54,0.99,0.08,0.08,0.0,0.0,0.0,0.0
Fungi,Aspergillus kawachii ( 40384 ),Aspergillus ( 5052 ),0,0,1,0.36,0.45,0.61,8.29,0.0,-0.21,0.0,0.99
Fungi,Aspergillus nomius ( 41061 ),Aspergillus ( 5052 ),0,0,1,0.35,0.45,0.46,8.29,0.0,-0.21,0.0,0.99
Mammalia,Homo sapiens ( 9606 ),Homo ( 9605 ),0,0,0,-0.0,-0.0,0.3,0.3,0.73,0.73,0.08,0.08
Fungi,Candida tropicalis ( 5482 ),Candida ( 1535326 ),0,0,3,0.75,0.65,0.08,3.95,0.0,0.13,0.0,0.84
Bacteria,uncultured Zoogloea sp. ( 160237 ),Zoogloea ( 349 ),0,0,0,0.74,0.45,0.08,0.08,0.0,0.0,0.0,0.0
Fungi,Candida orthopsilosis ( 273371 ),Candida ( 1535326 ),0,0,3,0.36,0.65,0.08,3.95,0.0,0.13,0.0,0.84
Viridiplantae (green plants),Lobosphaera incisa ( 312850 ),Lobosphaera ( 63682 ),0,0,0,0.43,0.43,0.08,0.08,0.0,0.0,0.0,0.0
Fungi,Aspergillus fumigatus ( 746128 ),Aspergillus ( 5052 ),0,0,1,0.1,0.45,0.23,8.29,0.0,-0.21,0.0,0.99
Fungi,Schizosaccharomyces japonicus ( 4897 ),Schizosaccharomyces ( 4895 ),0,0,0,0.1,0.07,0.3,0.3,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Pseudendoclonium akinetum ( 160070 ),Pseudendoclonium ( 43938 ),0,0,0,0.11,0.11,0.08,0.08,0.0,0.0,0.0,0.0
Viridiplantae (green plants),Ulva sp. UNA00071828 ( 1641711 ),Ulva ( 3118 ),0,0,0,0.19,0.05,0.08,0.08,0.0,0.0,0.0,0.0
Environmental samples,uncultured bacterium 293 ( 698389 ),No genus ( -1 ),0,0,0,2.05,0.0,0.15,0.0,0.0,0.0,0.0,0.0
Fungi,uncultured soil fungus ( 167647 ),No genus ( -1 ),0,0,0,-0.34,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Bacteria,alpha proteobacterium HPC854 ( 324627 ),No genus ( -1 ),0,7,0,100.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Environmental samples,uncultured bacterium HF0770_45N15 ( 542530 ),No genus ( -1 ),0,0,0,-0.22,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Bacteria,uncultured Myxococcales bacterium ( 253830 ),No genus ( -1 ),0,0,0,0.5,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Bacteria,bacterium EBAD25 ( 1195816 ),No genus ( -1 ),0,0,0,-0.33,0.0,0.15,0.0,0.0,0.0,0.0,0.0
Environmental samples,uncultured bacterium HF0200_14D13 ( 542501 ),No genus ( -1 ),0,0,0,-0.03,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Environmental samples,uncultured soil bacterium ( 164851 ),No genus ( -1 ),0,0,0,-0.31,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Artificial Sequences,synthetic construct ( 32630 ),No genus ( -1 ),0,0,0,-0.21,0.0,0.08,0.0,-0.12,0.0,0.61,0.0
Bacteria,uncultured Oscillatoriales cyanobacterium ( 156210 ),No genus ( -1 ),0,0,0,0.61,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Environmental samples,uncultured bacterium ( 77133 ),No genus ( -1 ),0,0,0,-0.32,0.0,1.37,0.0,0.0,0.0,0.0,0.0
Eukaryotes,uncultured eukaryote ( 100272 ),No genus ( -1 ),0,0,0,-0.11,0.0,0.46,0.0,0.0,0.0,0.0,0.0
Bacteria,uncultured alpha proteobacterium ( 91750 ),No genus ( -1 ),0,0,0,-0.34,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Environmental samples,uncultured eubacterium A5-K1 ( 127062 ),No genus ( -1 ),0,0,0,1.24,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Fungi,Tremellales sp. TG05 ( 1194814 ),No genus ( -1 ),0,7,0,100.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Bacteria,uncultured actinobacterium ( 152507 ),No genus ( -1 ),0,0,0,-0.28,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Unclassified Sequence (synthetic),uncultured organism ( 155900 ),No genus ( -1 ),0,0,0,-0.29,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Unclassified Sequence (synthetic),unidentified ( 32644 ),No genus ( -1 ),0,0,0,-0.25,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Fungi,Dothideomycetes sp. AL-35 ( 1271929 ),No genus ( -1 ),0,0,0,-0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Eukaryotes,Emiliania huxleyi ( 2903 ),Emiliania ( 2902 ),0,0,0,-0.04,-0.04,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Mycobacterium lentiflavum ( 141349 ),Mycobacterium ( 1763 ),0,0,0,-0.04,-0.21,0.08,0.38,0.0,-0.38,0.0,0.15
Bacteria,Zobellia galactanivorans ( 63186 ),Zobellia ( 112040 ),0,0,0,-0.1,-0.1,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Calothrix parietina ( 32054 ),Calothrix ( 1186 ),0,0,0,-0.1,-0.1,0.08,0.08,0.0,0.0,0.0,0.0
Bacteria,Shigella sonnei ( 624 ),Shigella ( 620 ),0,0,0,-0.11,-0.14,0.08,0.15,0.0,0.0,0.0,0.0
Bacteria,Sphingomonas wittichii ( 160791 ),Sphingomonas ( 13687 ),0,0,0,-0.12,-0.14,0.08,0.38,0.0,-0.32,0.0,0.3
Bacteria,Acinetobacter calcoaceticus ( 471 ),Acinetobacter ( 469 ),0,0,0,-0.13,-0.13,0.08,2.66,0.0,-0.13,0.0,0.99
Bacteria,Elizabethkingia anophelis ( 1117645 ),Elizabethkingia ( 308865 ),0,0,0,-0.14,-0.13,0.08,0.08,0.0,0.0,0.0,0.0
