Category,Species,Genus,Score1,Score2,Score3,NT Species Z,NT Genus Z,NT Species rM,NT Genus rM,NR Species Z,NR Genus Z,NR Species rM,NR Genus rM
Eukaryotes,Apusomonas proboscidea ( 41120 ),Apusomonas ( 41119 ),2559,25,25,100.0,100.0,0.26,0.26,0.0,0.0,0.0,0.0
Fungi,Fibulorhizoctonia sp. TMB ( 104306 ),Fibulorhizoctonia ( 56747 ),1279,12,12,100.0,100.0,0.13,0.13,0.0,0.0,0.0,0.0
Panarthropoda,Nilaparvata lugens ( 108931 ),Nilaparvata ( 108930 ),411,7,7,56.72,56.72,0.13,0.13,0.0,0.0,0.0,0.0
Fungi,Candida sp. YS44 ( 368399 ),Candida ( 5475 ),11,12,0,99.0,0.9,0.13,0.13,0.0,0.0,0.0,0.0
Bacteria,Citricoccus muralis ( 169134 ),Citricoccus ( 169133 ),11,12,0,100.0,0.89,0.13,0.13,0.0,0.0,0.0,0.0
Bacteria,Thermovibrio ammonificans ( 228745 ),Thermovibrio ( 171868 ),7,0,0,7.68,7.68,0.13,0.13,0.0,0.0,0.0,0.0
Amoebozoa,Dictyostelium lacteum ( 361077 ),Dictyostelium ( 5782 ),7,12,0,100.0,0.57,0.13,0.13,0.0,0.0,0.0,0.0
Bacteria,Lachnoanaerobaculum saburreum ( 467210 ),Lachnoanaerobaculum ( 1164882 ),3,10,0,82.1,0.35,0.13,0.13,0.0,0.0,0.0,0.0
Bacteria,Nesterenkonia sp. DHHS3 ( 396189 ),Nesterenkonia ( 57494 ),3,12,0,100.0,0.24,0.13,0.13,0.0,0.0,0.0,0.0
Archaea,Methanosaeta concilii ( 2223 ),Methanosaeta ( 2222 ),2,0,0,6.19,3.7,0.13,0.13,0.0,0.0,0.0,0.0
Bacteria,uncultured Proteiniphilum sp. ( 497637 ),Proteiniphilum ( 294702 ),2,0,0,3.01,3.01,0.26,0.26,0.0,-0.07,0.0,3.2
Fungi,Spathaspora passalidarum ( 340170 ),Spathaspora ( 412764 ),2,0,0,3.98,3.98,0.13,0.13,0.0,0.0,0.0,0.0
Fungi,Candida albicans ( 5476 ),Candida ( 1535326 ),1,11,0,6.89,0.16,1.66,1.79,1.85,-0.01,0.26,0.51
Bacteria,Micrococcus sp. PASCW1 ( 1547123 ),Micrococcus ( 1269 ),1,25,16,100.0,0.05,0.26,43.13,0.0,0.33,0.0,6.53
Bacteria,Micrococcus luteus ( 1270 ),Micrococcus ( 1269 ),0,3,16,0.05,0.05,39.17,43.13,0.3,0.33,5.89,6.53
